Date,Open,High,Low,Close,Adj Close,Volume
"Aug 11, 2016",41.48,43.86,41.1,43.49,43.49,"6,82,235"
"Aug 10, 2016",42.74,43.39,41.42,41.71,41.71,"6,76,148"
"Aug 09, 2016",42.83,43.52,42.47,42.77,42.77,"6,24,703"
"Aug 08, 2016",41.99,43.39,41.81,43.02,43.02,"5,62,530"
"Aug 05, 2016",41.84,42.1,41.06,41.8,41.8,"5,50,189"
"Aug 04, 2016",41.16,42.08,40.43,41.93,41.93,"5,98,836"
"Aug 03, 2016",39.7,41.2,39.19,40.83,40.83,"6,55,186"
"Aug 02, 2016",40.08,40.91,39.26,39.51,39.51,"5,34,512"
"Aug 01, 2016",41.35,41.88,39.82,40.06,40.06,"5,33,020"
"Jul 29, 2016",41.12,41.67,40.57,41.6,41.6,"4,78,763"
"Jul 28, 2016",41.93,42.22,41.04,41.14,41.14,"4,47,913"
"Jul 27, 2016",42.66,43.2,41.68,41.92,41.92,"5,37,390"
"Jul 26, 2016",43.07,43.39,42.36,42.92,42.92,"4,61,324"
"Jul 25, 2016",44.2,44.37,42.97,43.13,43.13,"3,89,837"
"Jul 22, 2016",44.6,44.97,43.74,44.19,44.19,"4,28,407"
"Jul 21, 2016",45.65,46.09,44.52,44.75,44.75,"4,32,972"
"Jul 20, 2016",44.59,45.25,43.69,44.94,44.94,"5,41,014"
"Jul 19, 2016",45.23,45.67,44.53,44.65,44.65,"1,28,127"
"Jul 18, 2016",46.12,46.14,44.86,45.24,45.24,"2,11,393"
"Jul 15, 2016",45.52,46.33,45.05,45.95,45.95,"4,30,256"
"Jul 14, 2016",45.14,45.8,44.95,45.68,45.68,"5,73,761"
"Jul 13, 2016",46.58,46.71,44.56,44.75,44.75,"6,86,245"
"Jul 12, 2016",44.58,46.93,44.51,46.8,46.8,"6,58,257"
"Jul 11, 2016",45.07,45.77,44.42,44.76,44.76,"5,33,657"
"Jul 08, 2016",45.19,45.97,44.77,45.41,45.41,"5,83,078"
"Jul 07, 2016",47.88,48.25,44.87,45.14,45.14,"7,10,893"
"Jul 06, 2016",46.83,47.95,45.92,47.43,47.43,"6,07,663"
"Jul 05, 2016",49.11,49.35,46.33,46.6,46.6,"6,09,194"
"Jul 01, 2016",48.38,49.3,47.9,48.99,48.99,"4,05,187"
"Jun 30, 2016",49.55,49.62,48.17,48.33,48.33,"5,08,736"
"Jun 29, 2016",48.06,50,47.98,49.88,49.88,"5,11,476"
"Jun 28, 2016",46.59,48.18,46.54,47.85,47.85,"4,98,851"
"Jun 27, 2016",47.81,47.96,45.83,46.33,46.33,"5,04,613"
"Jun 24, 2016",50.3,50.45,46.7,47.64,47.64,"6,49,446"
"Jun 23, 2016",49.08,50.23,49.08,50.11,50.11,"4,01,885"
"Jun 22, 2016",50.22,50.54,48.4,49.13,49.13,"5,69,939"
"Jun 21, 2016",49.14,49.32,48.16,48.85,48.85,"4,75,407"
"Jun 20, 2016",48.29,49.42,48.14,49.37,49.37,"98,293"
"Jun 17, 2016",45.99,48.29,45.83,47.98,47.98,"2,26,653"
"Jun 16, 2016",47.45,47.75,45.91,46.21,46.21,"5,07,910"
"Jun 15, 2016",47.9,48.72,47.28,48.01,48.01,"5,27,870"
"Jun 14, 2016",48.52,48.69,47.84,48.49,48.49,"4,56,144"
"Jun 13, 2016",48.85,49.28,48.16,48.88,48.88,"5,06,036"
"Jun 10, 2016",50.47,50.73,48.8,49.07,49.07,"5,96,119"
"Jun 09, 2016",51.45,51.67,50.23,50.56,50.56,"5,60,723"
"Jun 08, 2016",50.41,51.62,50.32,51.23,51.23,"6,56,416"
"Jun 07, 2016",49.71,50.53,49.44,50.36,50.36,"5,42,254"
"Jun 06, 2016",48.88,49.9,48.71,49.69,49.69,"4,50,472"
"Jun 03, 2016",49.04,49.41,48.33,48.62,48.62,"4,81,034"
"Jun 02, 2016",48.9,49.47,47.97,49.17,49.17,"5,64,846"
"Jun 01, 2016",48.82,49.25,47.75,49.01,49.01,"5,68,839"
"May 31, 2016",49.54,50.1,48.81,49.1,49.1,"4,76,988"
"May 27, 2016",49.31,49.6,48.69,49.33,49.33,"4,06,386"
"May 26, 2016",49.7,50.21,49.22,49.48,49.48,"4,88,465"
"May 25, 2016",49.09,49.75,48.65,49.56,49.56,"5,50,501"
"May 24, 2016",48.08,49.27,47.64,48.62,48.62,"4,75,965"
"May 23, 2016",48.46,48.5,47.4,48.08,48.08,"4,75,453"
"May 20, 2016",48.2,48.79,47.44,47.75,47.75,"5,38,047"
"May 19, 2016",47.87,48.28,46.73,48.16,48.16,"1,08,816"
"May 18, 2016",48.53,48.95,47.75,48.19,48.19,"3,43,184"
"May 17, 2016",47.9,48.76,47.53,48.31,48.31,"4,70,440"
"May 16, 2016",46.28,47.98,46.15,47.72,47.72,"5,50,863"
"May 13, 2016",46.41,46.49,45.75,46.21,46.21,"5,19,363"
"May 12, 2016",46,47.02,45.61,46.7,46.7,"7,15,102"
"May 11, 2016",44.6,46.36,43.96,46.23,46.23,"8,69,957"
"May 10, 2016",43.25,44.79,43.03,44.66,44.66,"7,09,415"
"May 09, 2016",45,45.94,43.24,43.44,43.44,"7,67,568"
"May 06, 2016",44.52,45.34,43.54,44.66,44.66,"6,95,306"
"May 05, 2016",44.04,46.07,43.96,44.32,44.32,"7,46,159"
"May 04, 2016",43.85,44.88,43.22,43.78,43.78,"7,11,125"
"May 03, 2016",44.92,45.35,43.32,43.65,43.65,"6,25,551"
"May 02, 2016",45.9,46.15,44.54,44.78,44.78,"4,64,027"
"Apr 29, 2016",45.9,46.78,45.24,45.92,45.92,"5,98,439"
"Apr 28, 2016",45.3,46.14,44.94,46.03,46.03,"4,87,412"
"Apr 27, 2016",44.64,45.62,43.77,45.33,45.33,"6,48,028"
